model,w,b,train_MSE,prediction_mean_abs_diff,prediction_max_abs_diff
gd_lr_0.01,46.94797278019526,151.0202193889303,3775.7553987161245,0.0061957054093404774,0.012565397783475873
gd_lr_0.1,46.949898852148316,151.02641509433957,3775.7553566196057,5.5663649790112e-14,8.526512829121202e-14
sklearn_lr,46.94989885214832,151.02641509433963,3775.755356619606,0.0,0.0
